Ghelo_harsh,@SwiggyCares i paid from paytm and not any credit received from your site.
itskaushal1812,"@Paytmcare 
Sir , I purchased FastTag from Paytm. But It was not working in return journey in NE1 (vadodara-Ahmedab… https://t.co/MaHIzILOhe"
PARMODSain4,"So Guys ... Finally. #Goodnewzz  Releasing Tomorrow... Movie BUZZ Amazing 👌👌👌

All set Outstanding....

Currently… https://t.co/88Hgh0ck0n"
narender31kumar,No solution till yet by @Paytmcare @Paytm Not able to use Fastag as not linked to my Paytm wallet till yet. Very ve… https://t.co/JbywXznmpH
JaganCultFan,@PasagadaPRASHAD Yeppatnundo doubt now confirm maa paytm rowdy ve 😍😍
praveen_2609,Ordered fastag from paytm and received it promptly. But the tag is not active neither I have any way to recharge it… https://t.co/2qA0OtbtjF
KaranPSPK,God Bless U Paytm rowdy anna https://t.co/HKxf9IwLFo https://t.co/5KFdm3zQgW
JayeshBhola3,"@Paytm @vijayshekhar  
Reference to paytm query 150954187 - pathetic service from paytm no query resolution, call c… https://t.co/9ksnTbAVyx"
shwetamrocks,@Paytmcare customer care executives don't know the way to deal customers. So much impolite so impersonal. No plead… https://t.co/hw2YHWA8vg
shwetamrocks,@Paytmcare such a rude response by one of the paytm care executives on call. My word this is how they deliver servi… https://t.co/jNj9kRkHf8
CleverDelhi,"@Paytm i am not able to reset my password.
Please help"
TheHK99,@GooglePayIndia Did a transaction for flight booking via Paytm. Cancelled the booking later. The refund has been in… https://t.co/nygDVn8VnT
NikhilDhingras,@Paytmcare Hello Paytm ... My account is blocked for unknown reason. Can you please help me out. My number is 9506333333
shwetamrocks,@Paytm require urgent help for an order at 9807438884. Only fraud at paytm. Require immidiate attention
VijayKu47401735,"#Paytm
Why to sale fastag
My complete no.  150154827
Barcode mismatched 
6 December provide tag 
But till date not change the barcode"
shwetamrocks,@Paytmcare urgent help required. Paytm account number 9807438884. Such a rude response by Mr. srivastava at custome… https://t.co/cBAasyY2ve
paytmbankcare,@viveksaraswat You can also contact us through our in-app support section at https://t.co/d97OFba48j or let us know… https://t.co/bXIfzOl0xp
DecadeSteel,Happy to announce the winner of the #instagramfollowerContest Mr. Naresh from Hyderabad has won Paytm voucher worth… https://t.co/jNL5REKjQX
SmokingSkills_,"Hi please help this family. Donate as much as you can. 

Paytm- 8409564104
UPI ID- 8409564104@paytm

https://t.co/4zmVs2fcUH"
DecadeSteel,Happy to announce the winner of the #instagramfollowerContest Mr. Naresh from Hyderabad has won Paytm voucher worth… https://t.co/H1fr9Oee6f
SaurabhGayali,Why is @Paytm cutting 4 rs for upi based transaction while @RBI declared online transactions to be charge free and… https://t.co/WsUGsNfUqc
parth_rana2021,@UberINSupport @PMOIndia @myogiadityanath @ZeeNewsHindi @republic as per @Paytm the merchant @Uber_India already re… https://t.co/Px1HOMZuUD
unqgamerraju,Strictly 18+ PhonePe Paytm | Pubg Mobile Punju VS Petta | Live Stream #494 https://t.co/0wHY3euYmo
Paytmcare,"@anool Hi, this is not offical communication from Paytm. Please be aware of such fake callers/messages. Moreover, t… https://t.co/tzhpjVH1oy"
Paytmcare,"@Nitin13122124 Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. Mo… https://t.co/FJLPw3H39b"
Ranjana19667767,@Paytm @paytmcare message received on 9815746567 https://t.co/hx5EwLREUS
skathresh,@BeingPractical @BeingPractical  and team is best. Hoping for more and more products from you. Thanks for Paytm mon… https://t.co/E6qGJ8k4wp
vinay4jain,"Dear Team, I had made the biggest mistake by ordering fast tag from paytm. 
I ordered my fast tag on 26 Nov 19 and… https://t.co/XF3OU2Usrd"
yoursdeepika,@Jagadish_999 Paytm batch ante ?
paytmbankcare,"@Dilipsi66775837 Hi Dilip, this is regarding the incorrect deduction from your FASTag wallet. We would like to info… https://t.co/xYn9usNnA3"
anool,"Hey @Paytm @PaytmCybercell @Paytmcare , what's this all about. Looks like a scam, since my KYC is already done. https://t.co/dMfmRB7pMT"
Paytmcare,"@JainManish123 Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. Mo… https://t.co/rwHII03gZb"
SaveUcs,Helo Cashback Dhamaka Offer || Shake Christmas Tree &amp; Get Paytm Cash in 30 Second https://t.co/IzbaXzRYSY https://t.co/ikIxfiBiOt
VickyVi45887937,#Asn #AvaneSrimannarayana @bookmyshow server is down. Guys please use @Paytm app to book your tickets. It's the sam… https://t.co/0IA8eG5RHQ
Maulikpatel31,"@Paytm query no- 150914572
I have paid to Adani gas via paytm. Money deducted from the paytm but Adani gad didn't r… https://t.co/gk6MvihPHl"
SaveMoneyTT1,Paytm All User Offer ₹75 Cashback For All || Google Pay HNY Scratch Card?? Google pay 2020 Offer… https://t.co/T4u0Lje5OJ
ChetanDhakaJi,Worst customer Care service @Paytm
techno_prashant,"Hello App 2020 Shake Cash Dhamaka Unlimited Trick With Paytm Payment Proof | Earn Rs.1000 Daily 
#YouTube… https://t.co/JNUl5EyZYI"
rupeshmalpani,"@AzureSupport @Microsoft @Azure to be Precise, Paytm account has less than 150 rs, it shows 2491"
paytmbankcare,"@DeeepFriedLife Please note that the price breakup for Car, Jeep, Van category for tags purchased from Paytm App or… https://t.co/nPrRpkRB6U"
paytmbankcare,"@DeeepFriedLife Hi, this is in regard with the concern which you have registered with Paytm regarding price breakup of your FASTag. (1/2)"
loknadh_reddy,"@timesprime @paisawapas @Paytmcare Hello Times prime , i bought membership 3 days ago i need to get 800 Paytm cashb… https://t.co/W1mbYZzgDX"
nenuravi,@Amazingdeals360 @Techglares any cashback codes /offers for bus booking in paytm or redbus or abhibus...
paytmbankcare,"@dwivedi_ashu83 Hi Ashutosh, this is regarding the incorrect deduction from your Fastag. We would like to inform yo… https://t.co/4zKY2IW4aS"
Nitin13122124,@Paytm is it from you???? https://t.co/KrvY3FtjCw
PujaSin20348780,#paytm #FASTags dont buy from here
yogesh23986,"@paytmbankcare @Paytmcare @paytmbankcare @vijayshekhar  How long do you guys think to resolve my issue , do I need… https://t.co/6xzKs1NTkh"
JSPwestgodavari,"@GuruKerala @JanaSenaParty 5rs Paytm successfully credited to ur account
@APPAJI_GONGALI 
@KannaaPawanism"
PujaSin20348780,#paytm is a cheater.
ZeeStudios_,"IT'S AN ENTERTAINMENT GALORE!
Ready to #MeetTheBatras tomorrow?😍 
Book your tickets now - https://t.co/fkL4hD27mo… https://t.co/xQrsOSb7q7"
ETBrandEquity,"Wizikey created a report on the top newsmakers of 2019 in the unicorn world.
#topnewsmaker #wizikey #paytm #ola… https://t.co/r22l6fUpTa"
PinkyDholakia,"@bluemountro PATH C

#quiz #paytm #cash #cashprize #winner #competition #chance #water #health #healthy #excited… https://t.co/jWTsYI1spf"
inakbar,"@bluemountro Path ""C""

#quiz #Paytm  #Cash #cashprize #winner  #Competition

@cool_bindra
@itsazeena
@rehanak55… https://t.co/RKKKSpTQb2"
UMESHSH62148606,"@Paytmcare Paytm is not safe at all because same OTP was used twice for transfer of money
How OTP can be used twice… https://t.co/FfGvG3x9XU"
paytmbankcare,"@raj9782209040 Further, we would like to inform you that Paytm KYC is free of cost service. Please do not pay any a… https://t.co/kBZlL2R18E"
PujaSin20348780,#Paytm #FASTag  dont buy from paytm. They havnot activated my fasttag yet. Cutomer care not responding to query ref… https://t.co/BybCRMS2m7
srikanthb90,@kapsology @Paytm account block karo iska.
yogesh23986,@paytmbankcare @Paytmcare @vijayshekhar @NHAI  paytm do you have any update now ?????
chachhatumhare,"@Pun_Starr Economy is clearly down,  ones who promoted PAYtm now have to do with LensKart ;-)
#CoolestPM… https://t.co/AuUIKmMg7Y"
vik_wadhwa,I have not received any refunds for my transaction done for 2 fastags reference number 9772351053 please get me my… https://t.co/FLoHmWmNmj
JainManish123,Dear PAYTM customer your Paytm KYC has expired. Contact customer care No- 8101779421 immediately . your account wil… https://t.co/AuTA1tMsSC
Paytmcare,"@SNPillai Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. Moreove… https://t.co/EVt1pgu8ja"
SaveMoneyTT1,Helo App Bigest Loot !!| Earn Per Refer ₹350 paytm Cashback !! Instant Redeem In Paytm !! Hello App… https://t.co/IZHvqes6bO
Devansh79523570,"@Uber_India Hey, so when I ordered the ride, the fare that was shown was 187₹ something. But I have some 502₹ cut f… https://t.co/qzq8nuWjI1"
a_prahladka,"@MORTHIndia @Paytmcare @Paytm @PaytmMall @nitin_gadkari 
Agencies like @Paytm selling fastag, are only selling tags… https://t.co/qwPUbVf5sr"
BCCIdomestic,"ICYMI: Rameez Khan's 87 helps Madhya Pradesh take the first-innings lead over Tamil Nadu. 

Watch his innings here… https://t.co/nd26Z95cJS"
Jiteshbhargava1,@paytmbankcare @nitin_gadkari @vijayshekhar @narendramodi please look into the reply and what i have asked are Payt… https://t.co/BGT0QS1DcN
3Madhvi,"@bluemountro PATH C

#quiz #paytm #cash #cashprize #winner #competition #chance #water #health #healthy #excited… https://t.co/hyAcEJO1Xu"
arsh_22g,"https://t.co/67a1TuVwhU
Paytm Spoof...beware"
SudheerDevalla,"Dear Mr @vijayshekhar 
It’s becoming next to impossible to get a paytm for all our retail stores and listing our pr… https://t.co/BcwLOgWRHi"
Bindas_Male,"@PaytmAshaKiran @Paytmcare 
1st asked for phone number of mine to call &amp; now they send massage to check the paytm a… https://t.co/4wZwmNG6ZE"
bounceshare,"@praveenmich3 Praveen, please accept our sincere apologies. We request you to please share your alternate Paytm num… https://t.co/jwyjlYdiXP"
Paytmcare,"@UtsavSaxena14 Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. Mo… https://t.co/3k5Az6xZUX"
ManishRamjiyani,"@vijayshekhar One suggestion or bug, I don't know. When we sync @Paytm with @swiggy_in &amp; @redBus_in. Auto order pla… https://t.co/ahXoYwfudl"
Rajendr42197477,"I reviewed https://t.co/PP0JeVaKyZ 5/5. Earn Rs.20 per review #WriteShareWin https://t.co/HgtchCQHSw via @MouthShut @paytm 
Jnnnnxvh"
saraswatigs,"DIY Fest 2020 is here for the very first time in Faridabad!

A great chance for kids, parents and budding artists t… https://t.co/MryHXzxJAP"
paytmbankcare,@MANOJKU77101141 Hi Manoj! Your account has been successfully updated with your new mobile number xxxxxx2560. Pleas… https://t.co/xwKCsUVSTZ
yogesh23986,"@paytmbankcare @Paytmcare @vijayshekhar  RC is shared again , fastag is sent by paytm why are you asking for the ba… https://t.co/R9ltKrBHRk"
davemilan17,@Paytmcare @paytm I received zomato food voucher today but not able to redeem it when I apply that voucher while fo… https://t.co/U1mwJDa5bX
Paytmcare,"@i_srd Hi, we are yet to make the feature live through which you can resume using Paytm Postpaid. We plan to do it… https://t.co/YRbSXmpX1Q"
AbhijeetDarange,@Paytmcare @Paytm May I know how my service request was closed without providing me solution or answering my query?… https://t.co/swwXiJz9r4
praveenmich3,"@bounceshare I got a reply that paytm kyc is not updated,  this message is enough to sue bounce,  kindly refund my money within 24 hours"
ankitraj2606,"@bluemountro @prashantDocean Ans -  PATH C

#quiz #paytm #cash #cashprize #winner #competition #chance #water… https://t.co/cedzEsBJSQ"
dkiran99,@PanditiMalhotra @PawanKalyan @JanaSenaParty Yes first Paytm batch ki
VydyamKowndinya,@NPCI_NPCI Kindly Suggest @paytm to service regarding Fast tag faceing issues with paytm
nimmyraz,"@MotilalOswalAMC @PaytmMoneyCare , See the above convo , they are saying that it is opening again from 26 Dec, but… https://t.co/LnKFH7Ao8b"
VydyamKowndinya,@Paytm are you their to service to customers
TheHK99,@TheOfficialSBI Cancelled a flight booking done through Paytm on 18 Dec. Refund was initiated from their side but m… https://t.co/11Y4OJkh1h
SNPillai,@Paytmcare Dear paytm customer your paytm KYC has been suspended Your paytm account will be block within 24 hours c… https://t.co/q11Clp4xn3
SameerG30405887,@PaytmCybercell : apart from making awared people more aware what are you and @vijayshekhar doing to prevent the fr… https://t.co/CabMUX9Y4I
SaveMoneyTT1,₹3000 Free Paytm Cash🔥₹300 Amazon Cashback For All User🔥 Explain in Tamil https://t.co/rc9AQuT6LC https://t.co/V8xjGrieul
chiranjiv4you,@paytmbankcare The delivery is delayed by more than 1 week. Such a irresponsible service is not acceptable by any m… https://t.co/mtrv48uv1u
VamsiHere1,"Make it Fast As soon as possible it's been 25 days 

@GooglePayIndia
@GooglePlay    @Paytmcare  @AxisBankSupport… https://t.co/WwWruCbimG"
Shailes01893067,"@bluemountro PATH C

#quiz #paytm #cash #cashprize #winner #competition #chance #water #health #healthy #excited… https://t.co/jPoGFXe8zQ"
BCCIdomestic,"WATCH: Venkatesh Iyer's brisk 88-run knock against Tamil Nadu.

Video here 👉👉 https://t.co/Ee74mo2AY2
#MPvTN… https://t.co/U5a2rkIgOe"
debikaghosh,PaytmHotel screwed my holiday #Paytm #PaytmHotel
Maheswa61918032,@PaytmMall is a froed shopping  mall but i am order my not a delivery delivery boy paytm sarvise bihebihever is gla… https://t.co/9XwZ3TJ0n4
UtsavSaxena14,"Surely there is some employee of @paytm that is constantly leaking the data.
Earlier me too I used to receive such… https://t.co/utBLqjBkdM"
UtsavSaxena14,@Paytmcare One of my friend forwarded me this SMS that was sent on his registered mobile number. Even though he is… https://t.co/Pcl6tvbY5S
swapnilpatil_87,@Paytm @PaytmBank I have received my paytm Fastag however it is not appearing in linked Wallet of Fastag . Nobody a… https://t.co/JdTULOX8Uq
Maheswa61918032,Paytm  a frowed shoping mall but me oder not a delivery boy a paytm shoping service not glasses boy paytm
SaveMoneyTT1,Paytm promo code today || Paytm Offer today || Paytm 23 December Offer || cashback https://t.co/d8RDMEeUfs https://t.co/hfE1RYP7jK
Paytmcare,"@rakikuruba Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. Moreo… https://t.co/8kFPQZzuOO"
Gautamcv4,Pathetic customer service from #Paytm . I regret choosing #paytm to order #FASTag on 27th Nov and still haven't rec… https://t.co/Zm4eWqHTAx
maffile2488,"@Paytm @Paytmcare ur support never picks call. Tried raise query on app fr past 2 days getting ""something went wron… https://t.co/tnmJasKXlo"
raj9782209040,"@Paytm paytm  is frauds ?
Yes you are fraud.

You never action against paytm kyc center who charge for kyc process… https://t.co/qtd6NSFPE9"
SaveMoneyTT1,Paytm 100% cashback recharge offer | 50 cashback on upi send money offer | new year 2020 https://t.co/42T1tPMu8m https://t.co/elfyasxuSO
drhellcat12,@Paytm @Paytmcare Asked me only for vehicle registration number! So I couldn't upload the scanned copy of the RC! I… https://t.co/5irgSu7hh0
Imkk001,"@gaana the worst music app ever..
They auto renewal my subscription without my consent and deducted the amount from… https://t.co/M04y3FFbl9"
ImNareshTomar,2day again I got one msg and call from this which I am attaching screenshot. I just want to know why @paytm… https://t.co/Leyi5ghPIt
DhruvPurohit91,@Paytm @Paytmcare @paytmbankcare if u can't serve the customer or not able to handle order pressure than why do u a… https://t.co/rZ49vac4Fl
vivekshukla,"@anandmahindra Sir, dealerships don't raise service payment links via the WYH app and instead send a separate Paytm… https://t.co/agdX3O9diN"
Step_To_Home,@fastag @Paytmcare @Paytm Guys why are you creating mess with #FASTag customers. I got my fastag 1 week ago but it'… https://t.co/5tos3pREsu
paytmbankcare,"@Aravindvj0007 Hi, please share the below details via DM so that we could check and assist you in a better way.
1.… https://t.co/3ic4sLjSZv"
i_srd,Since @Paytm have deactivated the Paytm Postpaid feature (may be July onwards) I have not. Bought a single product… https://t.co/2XTcuukp5K
RaghulHero2003,"Absolutely Pathethic Not Heard Back from PayTM on my issue, I ordered 2 Fastags and only 1 is added to my account b… https://t.co/AbRFP3gKSZ"
Vishalvthakoor,@Paytm the following customer of yours have taken 800 rs as payment from me for a service.and then cheated can u pl… https://t.co/U8rLVFwefC
Chinnarayudu98,"@bluemountro @prashantDocean Ans -  PATH C

#quiz #paytm #cash #cashprize #winner #competition #chance #water… https://t.co/ipTJVLl1Ac"
arorabharat77,"@Paytm @Paytmcare @PaytmBank 

@forum_consumer 

See why they ask to DM. No accountability to concern raised

Total… https://t.co/h8rkCMJfgP"
khemka_nidhi,"@bluemountro @bluemountro 

➡️Path C

#quiz #paytm #cash #cashprize #winner #Competition #water #healthy… https://t.co/BdbBbAw9sN"
nniishant,@Paytm @Paytmcare @PaytmFirst Please address QRN 151095801 ASAP.
ETBrandEquity,"The unicorns shortlisted as top newsmakers of 2019 were: #Paytm, #Oyo, #Ola, #Byju’s, #Swiggy, #Udaan, and #Zomato.
 https://t.co/NMD30Kc1AU"
Paytmcare,"@vky0786 Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. Moreover… https://t.co/eGywcl6e4b"
varadadya,@Paytm Sold #FASTag are not accepted at #NH Toll Nakas. DO NOT ORDER from there. Infact you will also face double t… https://t.co/iJxTtYygbB
rajulind,@Paytm @Paytmcare @PaytmCybercell need your urgent help against money fraud using paytm.
paytmbankcare,"@gargamitk1978 1-Login to Paytm App and tap on Passbook 

2-Tap on Manage FASTag 

3-Tap on ON/OFF Button (3/4)"
Consumer2Court,charging money for KYC by Paytm Agent https://t.co/CctYdAlAiM
paytmbankcare,"@CATcracker10 Hi, Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays wi… https://t.co/IISif0cmd9"
StarSportsIndia,"Cloudy with a chance of some thunder from down under! ⛈️
 
When the world's best openers collide💥, the forecast loo… https://t.co/DRwR8vkYMK"
DubeyYogendra,"@Paytm 
sir
 my I   purchased fast tag card from paytm and my vehicle is standing in Bihar but toll plaza charge fr… https://t.co/rYTcxQJxfJ"
neeraj_0210,@Paytmcare @Paytm Order id- 9787534599. Paid rs 400 for Fastag.Should have recd 150 as tag balance which I dint rec… https://t.co/wWpT6C6Es5
RohitKhullar8,@paytmbankcare It is not yet delivered. Check the delivery status from shadowfax site which i had added the image o… https://t.co/MN3SaK09S5
nekkantitsayz,"@bluemountro Path ""C"" 

#quiz #paytm #cash #cashprize #winner #competition 
@bluemountro

Join
@Navyavegi… https://t.co/boMM5gafDI"
SatishG20685,@GooglePay @VisaUK @GooglePay really worst app...just fooling people....have transferred seven times by google pay… https://t.co/czVVDR5qmz
yogesh23986,"@Paytmcare @vijayshekhar 
Please stop making customer life more worse , fastag got blacklisted . Called many times… https://t.co/xzYAcSCZqh"
SatishG20685,@GooglePay @rhettandlink @StJude @GooglePay really worst app...just fooling people....have transferred seven times… https://t.co/mVfFTj8vA9
SatishG20685,@GooglePay @GooglePay really worst app...just fooling people....have transferred seven times by google pay to diffe… https://t.co/7hvIlDIeQE
SatishG20685,@GooglePay @GooglePay really worst app...just fooling people....have transferred seven times by google pay to diffe… https://t.co/UeHt25uY9j
SatishG20685,@GooglePay really worst app...just fooling people....have transferred seven times by google pay to different number… https://t.co/kszPhCFxep
Kalpesh9460,"@bluemountro ❇️Path C is correct
❇️My perfect Screenshot of path C
#Quiz #Paytm #Cash #Winner #competition 
➡️… https://t.co/UEzW61Y9Pl"
paytmbankcare,"@Rayulu3 Hi, kindly share the below mentioned details with us via DM.
1. Date of UPI invitation
2. Referrer mobile… https://t.co/D2Z8ygZrI7"
RAVIKOTA2,"@eCateringIRCTC @RailMinIndia @PiyushGoyal @PMOIndia  kindly start using Paytm, Google pay, upi etc digital payment… https://t.co/zVwlucbZB1"
SaveMoneyTT1,Amazon New Rs.300* CashBack Vocher Offer l Paytm New Loot CashBack Offer For All Users https://t.co/FYgjr7q2c9 https://t.co/ytircOHO0X
dineshiftda,"@RailMinIndia 
#pmoindia
@PiyushGoyal 
#utsapp rebooking quick tickets booking options not showing Rwallet, go thro… https://t.co/6VcwO3jcM8"
vky0786,"PAYTM
Dear paytm customer your KYC has been suspended.Paytm office pH 7602762600 call immediately.Your account will… https://t.co/vDVYVV0Vs3"
shamitmankad,@paytmbankcare I have sent my registered number on private message.  Ticket already open on paytm app
JASHOBANTAJen12,@BCCI @Paytm It's place of lord jagannath...
Aravindvj0007,@Paytmcare I have invite my friend to paytm but I didnot get my refer and earn cashback. Kindly check my account
SitanshuPanda6,"@paytmbankcare very pathetic situation. Nobody is responding to my queries raised on Paytm Fastag since 10 days.
Ve… https://t.co/oKYe3GodCj"
Fashionfundas,@Paytmcare #PayTm Pls note that I have shared this experience on social media and many contacts have complained about similar experiences
CATcracker10,"@Paytmcare Paytm fastag not delivered,order was placed on 12th december 2019.
Order Number- 9890361468
Deliver it please,dont delay it"
paytmbankcare,"@IamAashu14 Hi, we would like to inform you that please follow the below-mentioned steps to keep tag in suspension… https://t.co/ZhliCNlqkh"
Dilipya35555147,"@MyFab11Official Please add my paytm number in withdrawal details
Paytm  9525116126

Team name  - Haar gaye na"
CATcracker10,"@paytmbankcare Paytm fastag not delivered,order was placed on 12th december 2019.
Order Number- 9890361468
Please kindly deliver it"
om_speaks,"Finally received #FASTag from @Paytm came after 28 days of ordering but cool.

I am going to test it soon. https://t.co/I0U17ckPCh"
Amod420,@BCCIdomestic @Paytm Lunch break? Abhi..😂😂😂
iManasTiwari,@Paytmcare Can you update on the status of below requests. This issue has already been escalated. Please update asa… https://t.co/bKaKALSZsm
paytmbankcare,"@vikassainibjp We would request you to track your order using Paytm App. If you need further assistance, please con… https://t.co/kvXU96hJ2m"
sanjayk47504347,@Paytm @Paytmcare @PaytmCybercell what the hell is this? This person is sending me messages where in I have no Payt… https://t.co/NvbnF7j0is
mamtavashishtha,@iramvilaspaswan @narendramodi sir as promised by you in parliament with reference to consumer protection act 2019.… https://t.co/nhv9CcQouj
KARMJEET1712193,@PaytmTravel @Paytm Sab sae fake app. complaint ko 3 din ho gae .koi action nhe . Don't use this app .
Navyavegi,"@bluemountro Path ""C"" 

#quiz #paytm #cash #cashprize #winner #competition @bluemountro

@nekkantitsayz… https://t.co/kBK9sPyCcV"
